"","fish_density","year"
"1",0.401481498993562,1948
"2",0.299692668051985,1949
"3",0.730657290455272,1950
"4",0.606012379771797,1951
"5",1.9914622614806,1952
"6",0.849672512852151,1953
"7",0.881910568136609,1954
"8",1.08779249417706,1955
"9",0.907948477844455,1956
"10",1.76502361658227,1957
"11",0.706245982855777,1958
"12",1.02835995963624,1959
"13",1.63314089813171,1960
"14",1.66890040224778,1961
"15",2.17119408344246,1962
"16",1.86911287343584,1963
"17",1.36864979960407,1964
"18",1.16363283502054,1965
"19",6.19834317715108,1966
"20",3.5673060359806,1967
"21",2.48680866894242,1968
"22",4.64280925595704,1969
"23",8.90451798549342,1970
"24",6.95776668960332,1971
"25",6.61345836163786,1972
"26",21.6096364084901,1973
"27",4.89318248312696,1974
"28",2.0223509220638,1975
"29",0.765101399525577,1976
"30",1.18010814105894,1977
